id,pitch,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8
1,0.2,38,48,60,,
2,0.25,45,56,71,,
3,0.3,53,67,85,,
4,0.35,63,80,100,,
5,0.4,71,90,112,,
6,0.45,80,100,125,,
7,0.5,90,112,140,180,
8,0.6,100,125,160,200,
9,0.7,112,140,180,224,
10,0.75,118,150,190,236,
11,0.8,125,160,200,250,315
12,1,150,190,236,300,375
13,1.25,170,212,265,335,425
14,1.5,190,236,300,375,475
15,1.75,212,265,335,425,530
16,2,236,300,375,475,600
17,2.5,280,355,450,560,710
18,3,315,400,500,630,800
19,3.5,355,450,560,710,900
20,4,375,475,600,750,950
21,4.5,425,530,670,850,1060
22,5,450,560,710,900,1120
23,5.5,475,600,750,950,1180
24,6,500,630,800,1000,1250
25,8,630,800,1000,1250,1600
