id,pitch,h,h_5_8,h_3_8,h_4,h_8
1,0.075,0.0649519053,0.04059494078,0.02435696445,0.01623797633,0.008118988125
2,0.08,0.06928203232,0.04330127016,0.02598076208,0.01732050808,0.008660254
3,0.09,0.07794228636,0.04871392893,0.02922835734,0.01948557159,0.00974278575
4,0.1,0.0866025404,0.0541265877,0.0324759526,0.0216506351,0.0108253175
5,0.125,0.1082531755,0.06765823463,0.04059494075,0.02706329388,0.01353164688
6,0.15,0.1299038106,0.08118988155,0.0487139289,0.03247595265,0.01623797625
7,0.175,0.1515544457,0.09472152848,0.05683291705,0.03788861143,0.01894430563
8,0.2,0.1732050808,0.1082531754,0.0649519052,0.0433012702,0.021650635
9,0.225,0.1948557159,0.1217848223,0.07307089335,0.04871392898,0.02435696438
10,0.25,0.216506351,0.1353164693,0.0811898815,0.05412658775,0.02706329375
11,0.3,0.2598076212,0.1623797631,0.0974278578,0.0649519053,0.0324759525
12,0.35,0.3031088914,0.189443057,0.1136658341,0.07577722285,0.03788861125
13,0.4,0.3464101616,0.2165063508,0.1299038104,0.0866025404,0.04330127
14,0.45,0.3897114318,0.2435696447,0.1461417867,0.09742785795,0.04871392875
15,0.5,0.433012702,0.2706329385,0.162379763,0.1082531755,0.0541265875
16,0.6,0.5196152424,0.3247595262,0.1948557156,0.1299038106,0.064951905
17,0.7,0.6062177828,0.3788861139,0.2273316682,0.1515544457,0.0757772225
18,0.75,0.649519053,0.4059494078,0.2435696445,0.1623797633,0.08118988125
19,0.8,0.6928203232,0.4330127016,0.2598076208,0.1732050808,0.08660254
20,1,0.866025404,0.541265877,0.324759526,0.216506351,0.108253175
21,1.25,1.082531755,0.6765823463,0.4059494075,0.2706329388,0.1353164688
22,1.5,1.299038106,0.8118988155,0.487139289,0.3247595265,0.1623797625
23,1.75,1.515544457,0.9472152848,0.5683291705,0.3788861143,0.1894430563
24,2,1.732050808,1.082531754,0.649519052,0.433012702,0.21650635
25,2.5,2.16506351,1.353164693,0.811898815,0.5412658775,0.2706329375
26,3,2.598076212,1.623797631,0.974278578,0.649519053,0.324759525
27,3.5,3.031088914,1.89443057,1.136658341,0.7577722285,0.3788861125
28,4,3.464101616,2.165063508,1.299038104,0.866025404,0.4330127
29,4.5,3.897114318,2.435696447,1.461417867,0.9742785795,0.4871392875
30,5,4.33012702,2.706329385,1.62379763,1.082531755,0.541265875
31,5.5,4.763139722,2.976962324,1.786177393,1.190784931,0.5953924625
32,6,5.196152424,3.247595262,1.948557156,1.299038106,0.64951905
33,8,6.928203232,4.330127016,2.598076208,1.732050808,0.8660254
