id,diam,pitch,pitch_diam_d2,minor_diam_d1,minor_diam_d3
1,0.25,0.075,0.201286071,0.1688101184,0.1579848009
2,0.3,0.08,0.2480384758,0.2133974596,0.2018504542
3,0.35,0.09,0.2915432852,0.2525721421,0.239581761
4,0.4,0.1,0.3350480947,0.2917468245,0.2773130678
5,0.45,0.1,0.3850480947,0.3417468245,0.3273130678
6,0.5,0.125,0.4188101184,0.3646835306,0.3466413348
7,0.55,0.125,0.4688101184,0.4146835306,0.3966413348
8,0.6,0.15,0.5025721421,0.4376202368,0.4159696017
9,0.7,0.175,0.5863341657,0.5105569429,0.4852978687
10,0.8,0.2,0.6700961894,0.583493649,0.5546261356
11,0.9,0.225,0.7538582131,0.6564303551,0.6239544026
12,1,0.25,0.8376202368,0.7293670613,0.6932826695
13,1,0.2,0.8700961894,0.783493649,0.7546261356
14,1.1,0.25,0.9376202368,0.8293670613,0.7932826695
15,1.1,0.2,0.9700961894,0.883493649,0.8546261356
16,1.2,0.25,1.037620237,0.9293670613,0.8932826695
17,1.2,0.2,1.070096189,0.983493649,0.9546261356
18,1.4,0.3,1.205144284,1.075240474,1.031939203
19,1.4,0.2,1.270096189,1.183493649,1.154626136
20,1.6,0.35,1.372668331,1.221113886,1.170595737
21,1.6,0.2,1.470096189,1.383493649,1.354626136
22,1.8,0.35,1.572668331,1.421113886,1.370595737
23,1.8,0.2,1.670096189,1.583493649,1.554626136
24,2,0.4,1.740192379,1.566987298,1.509252271
25,2,0.25,1.837620237,1.729367061,1.69328267
26,2.2,0.45,1.907716426,1.71286071,1.647908805
27,2.2,0.25,2.037620237,1.929367061,1.89328267
28,2.5,0.45,2.207716426,2.01286071,1.947908805
29,2.5,0.35,2.272668331,2.121113886,2.070595737
30,3,0.5,2.675240474,2.458734123,2.386565339
31,3,0.35,2.772668331,2.621113886,2.570595737
32,3.5,0.6,3.110288568,2.850480947,2.763878407
33,3.5,0.35,3.272668331,3.121113886,3.070595737
34,4,0.7,3.545336663,3.242227772,3.141191475
35,4,0.5,3.675240474,3.458734123,3.386565339
36,4.5,0.75,4.01286071,3.688101184,3.579848009
37,4.5,0.5,4.175240474,3.958734123,3.886565339
38,5,0.8,4.480384758,4.133974596,4.018504542
39,5,0.5,4.675240474,4.458734123,4.386565339
40,5.5,0.5,5.175240474,4.958734123,4.886565339
41,6,1,5.350480947,4.917468245,4.773130678
42,6,0.75,5.51286071,5.188101184,5.079848009
43,6,0.5,5.675240474,5.458734123,5.386565339
44,7,1,6.350480947,5.917468245,5.773130678
45,7,0.75,6.51286071,6.188101184,6.079848009
46,7,0.5,6.675240474,6.458734123,6.386565339
47,8,1.25,7.188101184,6.646835306,6.466413348
48,8,1,7.350480947,6.917468245,6.773130678
49,8,0.75,7.51286071,7.188101184,7.079848009
50,8,0.5,7.675240474,7.458734123,7.386565339
51,9,1.25,8.188101184,7.646835306,7.466413348
52,9,1,8.350480947,7.917468245,7.773130678
53,9,0.75,8.51286071,8.188101184,8.079848009
54,9,0.5,8.675240474,8.458734123,8.386565339
55,10,1.5,9.025721421,8.376202368,8.159696017
56,10,1.25,9.188101184,8.646835306,8.466413348
57,10,1,9.350480947,8.917468245,8.773130678
58,10,0.75,9.51286071,9.188101184,9.079848009
59,10,0.5,9.675240474,9.458734123,9.386565339
60,11,1.5,10.02572142,9.376202368,9.159696017
61,11,1,10.35048095,9.917468245,9.773130678
62,11,0.75,10.51286071,10.18810118,10.07984801
63,11,0.5,10.67524047,10.45873412,10.38656534
64,12,1.75,10.86334166,10.10556943,9.852978687
65,12,1.5,11.02572142,10.37620237,10.15969602
66,12,1.25,11.18810118,10.64683531,10.46641335
67,12,1,11.35048095,10.91746825,10.77313068
68,12,0.75,11.51286071,11.18810118,11.07984801
69,12,0.5,11.67524047,11.45873412,11.38656534
70,14,2,12.70096189,11.83493649,11.54626136
71,14,1.5,13.02572142,12.37620237,12.15969602
72,14,1.25,13.18810118,12.64683531,12.46641335
73,14,1,13.35048095,12.91746825,12.77313068
74,14,0.75,13.51286071,13.18810118,13.07984801
75,14,0.5,13.67524047,13.45873412,13.38656534
76,15,1.5,14.02572142,13.37620237,13.15969602
77,15,1,14.35048095,13.91746825,13.77313068
78,16,2,14.70096189,13.83493649,13.54626136
79,16,1.5,15.02572142,14.37620237,14.15969602
80,16,1,15.35048095,14.91746825,14.77313068
81,16,0.75,15.51286071,15.18810118,15.07984801
82,16,0.5,15.67524047,15.45873412,15.38656534
83,17,1.5,16.02572142,15.37620237,15.15969602
84,17,1,16.35048095,15.91746825,15.77313068
85,18,2.5,16.37620237,15.29367061,14.9328267
86,18,2,16.70096189,15.83493649,15.54626136
87,18,1.5,17.02572142,16.37620237,16.15969602
88,18,1,17.35048095,16.91746825,16.77313068
89,18,0.75,17.51286071,17.18810118,17.07984801
90,18,0.5,17.67524047,17.45873412,17.38656534
91,20,2.5,18.37620237,17.29367061,16.9328267
92,20,2,18.70096189,17.83493649,17.54626136
93,20,1.5,19.02572142,18.37620237,18.15969602
94,20,1,19.35048095,18.91746825,18.77313068
95,20,0.75,19.51286071,19.18810118,19.07984801
96,20,0.5,19.67524047,19.45873412,19.38656534
97,22,2.5,20.37620237,19.29367061,18.9328267
98,22,2,20.70096189,19.83493649,19.54626136
99,22,1.5,21.02572142,20.37620237,20.15969602
100,22,1,21.35048095,20.91746825,20.77313068
101,22,0.75,21.51286071,21.18810118,21.07984801
102,22,0.5,21.67524047,21.45873412,21.38656534
103,24,3,22.05144284,20.75240474,20.31939203
104,24,2,22.70096189,21.83493649,21.54626136
105,24,1.5,23.02572142,22.37620237,22.15969602
106,24,1,23.35048095,22.91746825,22.77313068
107,24,0.75,23.51286071,23.18810118,23.07984801
108,25,2,23.70096189,22.83493649,22.54626136
109,25,1.5,24.02572142,23.37620237,23.15969602
110,25,1,24.35048095,23.91746825,23.77313068
111,26,1.5,25.02572142,24.37620237,24.15969602
112,27,3,25.05144284,23.75240474,23.31939203
113,27,2,25.70096189,24.83493649,24.54626136
114,27,1.5,26.02572142,25.37620237,25.15969602
115,27,1,26.35048095,25.91746825,25.77313068
116,27,0.75,26.51286071,26.18810118,26.07984801
117,28,2,26.70096189,25.83493649,25.54626136
118,28,1.5,27.02572142,26.37620237,26.15969602
119,28,1,27.35048095,26.91746825,26.77313068
120,30,3.5,27.72668331,26.21113886,25.70595737
121,30,3,28.05144284,26.75240474,26.31939203
