id,min,max,pitch,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
1,1,1.4,0.2,40,50,63,,,
2,1,1.4,0.25,45,56,71,,,
3,1,1.4,0.3,48,60,75,,,
4,1.4,2.8,0.2,42,53,67,,,
5,1.4,2.8,0.25,48,60,75,,,
6,1.4,2.8,0.35,53,67,85,,,
7,1.4,2.8,0.4,56,71,90,,,
8,1.4,2.8,0.45,60,75,95,,,
9,2.8,5.6,0.25,48,60,75,,,
10,2.8,5.6,0.35,56,71,90,,,
11,2.8,5.6,0.5,63,80,100,125,,
12,2.8,5.6,0.6,71,90,112,140,,
13,2.8,5.6,0.7,75,95,118,150,,
14,2.8,5.6,0.75,75,95,118,150,,
15,2.8,5.6,0.8,80,100,125,160,200,250
16,5.6,11.2,0.25,53,67,85,,,
17,5.6,11.2,0.35,60,75,95,,,
18,5.6,11.2,0.5,71,90,112,140,,
19,5.6,11.2,0.75,85,106,132,170,,
20,5.6,11.2,1,95,118,150,190,236,300
21,5.6,11.2,1.25,100,125,160,200,250,315
22,5.6,11.2,1.5,112,140,180,224,280,355
23,11.2,22.4,0.35,63,80,100,,,
24,11.2,22.4,0.5,75,95,118,150,,
25,11.2,22.4,0.75,90,112,140,180,,
26,11.2,22.4,1,100,125,160,200,250,315
27,11.2,22.4,1.25,112,140,180,224,280,355
28,11.2,22.4,1.5,118,150,190,236,300,375
29,11.2,22.4,1.75,125,160,200,250,315,400
30,11.2,22.4,2,132,170,212,265,335,425
31,11.2,22.4,2.5,140,180,224,280,355,450
32,22.4,45,0.5,80,100,125,,,
33,22.4,45,0.75,95,118,150,190,,
34,22.4,45,1,106,132,170,212,265,335
35,22.4,45,1.5,125,160,200,250,315,400
36,22.4,45,2,140,180,224,280,355,450
37,22.4,45,3,170,212,265,335,425,530
38,22.4,45,3.5,180,224,280,355,450,560
39,22.4,45,4,190,236,300,375,475,600
40,22.4,45,4.5,200,250,315,400,500,630
41,45,90,0.5,85,106,132,,,
42,45,90,0.75,100,125,160,,,
43,45,90,1,118,150,190,236,300,375
44,45,90,1.5,132,170,212,265,335,425
45,45,90,2,150,190,236,300,375,475
46,45,90,3,180,224,280,355,450,560
47,45,90,4,200,250,315,400,500,630
48,45,90,5,212,265,335,425,530,670
49,45,90,5.5,224,280,355,450,560,710
50,45,90,6,236,300,375,475,600,750
51,90,180,0.75,106,132,170,,,
52,90,180,1,125,160,200,250,,
53,90,180,1.5,140,180,224,280,355,450
54,90,180,2,160,200,250,315,400,500
55,90,180,3,190,236,300,375,475,600
56,90,180,4,212,265,335,425,530,670
57,90,180,6,250,315,400,500,630,800
58,90,180,8,280,355,450,560,710,900
59,180,355,1.5,150,190,236,300,375,
60,180,355,2,180,224,280,355,450,560
61,180,355,3,212,265,335,425,530,670
62,180,355,4,236,300,375,475,600,750
63,180,355,6,265,335,425,530,670,850
64,180,355,8,300,375,475,600,750,950
65,355,600,2,190,236,300,375,475,
66,355,600,4,250,315,400,500,630,800
67,355,600,6,280,355,450,560,710,900
68,355,600,8,315,400,500,630,800,1000
