id,range_1,range_2,range_3,coarse_pitch,pitchs
1,0.25,,,0.075,
2,0.3,,,0.08,
3,,0.35,,0.09,
4,0.4,,,0.1,
5,,0.45,,0.1,
6,0.5,,,0.125,
7,,0.55,,0.125,
8,0.6,,,0.15,
9,,0.7,,0.175,
10,0.8,,,0.2,
11,,0.9,,0.225,
12,1,,,0.25,0.2
13,,1.1,,0.25,0.2
14,1.2,,,0.25,0.2
15,,1.4,,0.3,0.2
16,1.6,,,0.35,0.2
17,,1.8,,0.35,0.2
18,2,,,0.4,0.25
19,,2.2,,0.45,0.25
20,2.5,,,0.45,0.35
21,3,,,0.5,0.35
22,,3.5,,0.6,0.35
23,4,,,0.7,0.5
24,,4.5,,0.75,0.5
25,5,,,0.8,0.5
26,,,5.5,,0.5
27,6,,,1,"0.75,0.5"
28,,7,,1,"0.75,0.5"
29,8,,,1.25,"1,0.75,0.5"
30,,,9,1.25,"1,0.75,0.5"
31,10,,,1.5,"1.25,1,0.75,0.5"
32,,,11,1.5,"1,0.75,0.5"
33,12,,,1.75,"1.5,1.25,1,0.75,0.5"
34,,14,,2,"1.5,1.25,1,0.75,0.5"
35,,,15,,"1.5,1"
36,16,,,2,"1.5,1,0.75,0.5"
37,,,17,,"1.5,1"
38,,18,,2.5,"2,1.5,1,0.75,0.5"
39,20,,,2.5,"2,1.5,1,0.75,0.5"
40,,22,,2.5,"2,1.5,1,0.75,0.5"
41,24,,,3,"2,1.5,1,0.75"
42,,,25,,"2,1.5,1"
43,,,26,,1.5
44,,27,,3,"2,1.5,1,0.75"
45,,,28,,"2,1.5,1"
46,30,,,3.5,"3,2,1.5,1,0.75"
47,,,32,,"2,1.5"
48,,33,,3.5,"3,2,1.5,1,0.75"
49,,,35,,1.5
50,36,,,4,"3,2,1.5,1"
51,,,38,,1.5
52,,39,,4,"3,2,1.5,1"
53,,,40,,"3,2,1.5"
54,42,,,4.5,"4,3,2,1.5,1"
55,,45,,4.5,"4,3,2,1.5,1"
56,48,,,5,"4,3,2,1.5,1"
57,,,50,,"3,2,1.5"
58,,52,,5,"4,3,2,1.5,1"
59,,,55,,"4,3,2,1.5"
60,56,,,5.5,"4,2,1.5,1"
61,,,58,,"4,3,2,1.5"
62,,60,,5.5,"4,3,2,1.5,1"
63,,,62,,"4,3,2,1.5"
64,64,,,6,"4,3,2,1.5,1"
65,,,65,,"4,3,2,1.5"
66,,68,,6,"4,3,2,1.5,1"
67,,,70,,"6,4,3,2,1.5"
68,72,,,,"4,3,2,1.5,1"
69,,,75,,"4,3,2,1.5"
70,,76,,,"6,4,3,2,1.5,1"
71,,,78,,2
72,80,,,,"6,4,3,2,1.5,1"
73,,,82,,2
74,,85,,,"6,4,3,2,1.5"
75,90,,,,"6,4,3,2,1.5"
76,,95,,,"6,4,3,2,1.5"
77,100,,,,"6,4,3,2,1.5"
78,,105,,,"6,4,3,2,1.5"
79,110,,,,"6,4,3,2,1.5"
80,,115,,,"6,4,3,2,1.5"
81,,120,,,"6,4,3,2,1.5"
82,125,,,,"8,6,4,3,2,1.5"
83,,130,,,"8,6,4,3,2,1.5"
84,,,135,,"6,4,3,2,1.5"
85,140,,,,"8,6,4,3,2,1.5"
86,,,145,,"6,4,3,2,1.5"
87,,150,,,"8,6,4,3,2,1.5"
88,,,155,,"6,4,3,2"
89,160,,,,"8,6,4,3,2"
90,,,165,,"6,4,3,2"
91,,170,,,"8,6,4,3,2"
92,,,175,,"6,4,3,2"
93,180,,,,"8,6,4,3,2"
94,,,185,,"6,4,3,2"
95,,190,,,"8,6,4,3,2"
96,,,195,,"6,4,3,2"
97,200,,,,"8,6,4,3,2"
98,,,205,,"6,4,3"
99,,210,,,"8,6,4,3"
100,,,215,,"6,4,3"
101,220,,,,"8,6,4,3"
102,,,225,,"6,4,3"
103,,,230,,"8,6,4,3"
104,,,235,,"6,4,3"
105,,240,,,"8,6,4,3"
106,,,245,,"6,4,3"
107,250,,,,"8,6,4,3"
108,,,255,,"6,4,3"
109,,260,,,"8,6,4,3"
110,,,265,,"6,4,3"
111,,,270,,"8,6,4,3"
112,,,275,,"6,4,3"
113,280,,,,"8,6,4,3"
114,,,285,,"6,4,3"
115,,,290,,"8,6,4,3"
116,,,295,,"6,4,3"
117,,300,,,"8,6,4,3"
118,,,310,,"6,4"
119,320,,,,"8,6,4"
120,,,330,,"6,4"
121,,340,,,"8,6,4"
122,,,350,,"6,4"
123,360,,,,"8,6,4"
124,,,370,,"6,4"
125,,380,,,"8,6,4"
126,,,390,,"6,4"
127,400,,,,"8,6,4"
128,,,410,,6
129,,420,,,"8,6"
130,,,430,,6
131,440,,,,"8,6"
132,,,450,,6
133,,460,,,"8,6"
134,,,470,,6
135,480,,,,"8,6"
136,,,490,,6
137,,500,,,"8,6"
138,,,510,,6
139,520,,,,"8,6"
140,,,530,,6
141,,540,,,"8,6"
142,,,550,,6
143,560,,,,"8,6"
144,,,570,,6
145,,580,,,"8,6"
146,,,590,,6
147,600,,,,"8,6"
