diameter_min;diameter_max;pitch;3h4h_d_es_m;3h4h_d_ei_m;3h4h_d2_es_m;3h4h_d2_ei_m;3h4h_d1_es_m;4g_d_es_m;4g_d_ei_m;4g_d2_es_m;4g_d2_ei_m;4g_d1_es_m;4h_d_es_m;4h_d_ei_m;4h_d2_es_m;4h_d2_ei_m;4h_d1_es_m;5h4h_d_es_m;5h4h_d_ei_m;5h4h_d2_es_m;5h4h_d2_ei_m;5h4h_d1_es_m;5g6g_d_es_m;5g6g_d_ei_m;5g6g_d2_es_m;5g6g_d2_ei_m;5g6g_d1_es_m;5h6h_d_es_m;5h6h_d_ei_m;5h6h_d2_es_m;5h6h_d2_ei_m;5h6h_d1_es_m;6d_d_es_m;6d_d_ei_m;6d_d2_es_m;6d_d2_ei_m;6d_d1_es_m;6e_d_es_m;6e_d_ei_m;6e_d2_es_m;6e_d2_ei_m;6e_d1_es_m;6f_d_es_m;6f_d_ei_m;6f_d2_es_m;6f_d2_ei_m;6f_d1_es_m;6g_d_es_m;6g_d_ei_m;6g_d2_es_m;6g_d2_ei_m;6g_d1_es_m;6h_d_es_m;6h_d_ei_m;6h_d2_es_m;6h_d2_ei_m;6h_d1_es_m;7e6e_d_es_m;7e6e_d_ei_m;7e6e_d2_es_m;7e6e_d2_ei_m;7e6e_d1_es_m;7g6g_d_es_m;7g6g_d_ei_m;7g6g_d2_es_m;7g6g_d2_ei_m;7g6g_d1_es_m;7h6h_d_es_m;7h6h_d_ei_m;7h6h_d2_es_m;7h6h_d2_ei_m;7h6h_d1_es_m;8g_d_es_m;8g_d_ei_m;8g_d2_es_m;8g_d2_ei_m;8g_d1_ei_m;8h_d_es_m;8h_d_ei_m;8h_d2_es_m;8h_d2_ei_m;8h_d1_ei_m;8h6h_d_es_m;8h6h_d_ei_m;8h6h_d2_es_m;8h6h_d2_ei_m;8h6h_d1_ei_m;9g8g_d_es_m;9g8g_d_ei_m;9g8g_d2_es_m;9g8g_d2_ei_m;9g8g_d1_ei_m;4h_d_ei_f;4h_d2_es_f;4h_d2_ei_f;4h_d1_es_f;4h_d1_ei_f;4h5h_d_ei_f;4h5h_d2_es_f;4h5h_d2_ei_f;4h5h_d1_es_f;4h5h_d1_ei_f;5g_d_ei_f;5g_d2_es_f;5g_d2_ei_f;5g_d1_es_f;5g_d1_ei_f;5h_d_ei_f;5h_d2_es_f;5h_d2_ei_f;5h_d1_es_f;5h_d1_ei_f;6g_d_ei_f;6g_d2_es_f;6g_d2_ei_f;6g_d1_es_f;6g_d1_ei_f;6h_d_ei_f;6h_d2_es_f;6h_d2_ei_f;6h_d1_es_f;6h_d1_ei_f;7g_d_ei_f;7g_d2_es_f;7g_d2_ei_f;7g_d1_es_f;7g_d1_ei_f;7h_d_ei_f;7h_d2_es_f;7h_d2_ei_f;7h_d1_es_f;7h_d1_ei_f;8g_d_ei_f;8g_d2_es_f;8g_d2_ei_f;8g_d1_es_f;8g_d1_ei_f;8h_d_ei_f;8h_d2_es_f;8h_d2_ei_f;8h_d1_es_f;8h_d1_ei_f
1;1.4;0.2;0;-36;0;-24;0;-17;-53;-17;-47;-17;0;-36;0;-30;0;0;-36;0;-38;0;-17;-73;-17;-55;-17;0;-56;0;-38;0;;;;;;;;;;;-32;-88;-32;-80;-32;-17;-73;-17;-65;-17;0;-56;0;-48;0;;;;;;-17;-73;-17;-77;-17;0;-56;0;-60;0;;;;;;;;;;;0;-56;0;-75;0;;;;;;0;40;0;38;0;0;40;0;48;0;17;67;17;65;17;0;50;0;48;0;17;80;17;77;17;0;63;0;60;0;;;;;;;;;;;;;;;;;;;;
1;1.4;0.25;0;-42;0;-26;0;-18;-60;-18;-52;-18;0;-42;0;-34;0;0;-42;0;-42;0;-18;-85;-18;-60;-18;0;-67;0;-42;0;;;;;;;;;;;-33;-100;-33;-86;-33;-18;-85;-18;-71;-18;0;-67;0;-53;0;;;;;;-18;-85;-18;-85;-18;0;-67;0;-67;0;;;;;;;;;;;0;-67;0;-85;0;;;;;;0;45;0;45;0;0;45;0;56;0;18;74;18;74;18;0;56;0;56;0;18;89;18;89;18;0;71;0;71;0;;;;;;;;;;;;;;;;;;;;
1;1.4;0.3;0;-48;0;-28;0;-18;-66;-18;-54;-18;0;-48;0;-36;0;0;-48;0;-45;0;-18;-93;-18;-63;-18;0;-75;0;-45;0;;;;;;;;;;;-33;-108;-33;-89;-33;-18;-93;-18;-74;-18;0;-75;0;-56;0;;;;;;-18;-93;-18;-89;-18;0;-75;0;-71;0;;;;;;;;;;;0;-75;0;-90;0;;;;;;0;48;0;53;0;0;48;0;67;0;18;78;18;85;18;0;60;0;67;0;18;93;18;103;18;0;75;0;85;0;;;;;;;;;;;;;;;;;;;;
1.4;2.8;0.2;0;-36;0;-25;0;-17;-53;-17;-49;-17;0;-36;0;-32;0;0;-36;0;-40;0;-17;-73;-17;-57;-17;0;-56;0;-38;0;;;;;;;;;;;-32;-88;-32;-82;-32;-17;-73;-17;-67;-17;0;-56;0;-50;0;;;;;;-17;-73;-17;-80;-17;0;-56;0;-63;0;;;;;;;;;;;0;-56;0;-80;0;;;;;;0;42;0;38;0;0;42;0;48;0;17;70;17;65;17;0;53;0;48;0;17;84;17;77;17;0;67;0;60;0;;;;;;;;;;;;;;;;;;;;
1.4;2.8;0.25;0;-42;0;-28;0;-18;-60;-18;-54;-18;0;-42;0;-36;0;0;-42;0;-45;0;-18;-85;-18;-63;-18;0;-67;0;-45;0;;;;;;;;;;;-33;-100;-33;-89;-33;-18;-85;-18;-74;-18;0;-67;0;-56;0;;;;;;-18;-85;-18;-89;-18;0;-67;0;-71;0;;;;;;;;;;;0;-67;0;-90;0;;;;;;0;48;0;45;0;0;48;0;56;0;18;78;18;74;18;0;60;0;56;0;18;93;18;89;18;0;75;0;71;0;;;;;;;;;;;;;;;;;;;;
1.4;2.8;0.35;0;-53;0;-32;0;-19;-72;-19;-59;-19;0;-53;0;-40;0;0;-53;0;-50;0;-19;-104;-19;-69;-19;0;-85;0;-50;0;;;;;;;;;;;-34;-119;-34;-97;-34;-19;-104;-19;-82;-19;0;-85;0;-63;0;;;;;;-19;-104;-19;-99;-19;0;-85;0;-80;0;;;;;;;;;;;0;-85;0;-100;0;;;;;;0;53;0;63;0;0;53;0;80;0;19;86;19;99;19;0;67;0;80;0;19;104;19;119;19;0;85;0;100;0;;;;;;;;;;;;;;;;;;;;
1.4;2.8;0.4;0;-60;0;-34;0;-19;-79;-19;-61;-19;0;-60;0;-42;0;0;-60;0;-53;0;-19;-114;-19;-72;-19;0;-95;0;-53;0;;;;;;;;;;;-34;-129;-34;-101;-34;-19;-114;-19;-86;-19;0;-95;0;-67;0;;;;;;-19;-114;-19;-104;-19;0;-95;0;-85;0;;;;;;;;;;;0;-95;0;-106;0;;;;;;0;56;0;71;0;0;56;0;90;0;19;90;19;100;19;0;71;0;90;0;19;109;19;131;19;0;90;0;112;0;;;;;;;;;;;;;;;;;;;;
1.4;2.8;0.45;0;-63;0;-36;0;-20;-83;-20;-65;-20;0;-63;0;-45;0;0;-63;0;-56;0;-20;-120;-20;-76;-20;0;-100;0;-56;0;;;;;;;;;;;-35;-135;-35;-106;-35;-20;-120;-20;-91;-20;0;-100;0;-71;0;;;;;;-20;-120;-20;-110;-20;0;-100;0;-90;0;;;;;;;;;;;0;-100;0;-112;0;;;;;;0;60;0;80;0;0;60;0;100;0;20;95;20;120;20;0;75;0;100;0;20;115;20;145;20;0;95;0;125;0;;;;;;;;;;;;;;;;;;;;
2.8;5.6;0.25;0;-42;0;-28;0;-18;-60;-18;-54;-18;0;-52;0;-36;0;0;-42;0;-45;0;-18;-85;-18;-63;-18;0;-67;0;-45;0;;;;;;;;;;;-33;-100;-33;-89;-33;-18;-85;-18;-74;-18;0;-67;0;-56;0;;;;;;-18;-85;-18;-89;-18;0;-67;0;-71;0;;;;;;;;;;;;;;;;;;;;;0;48;0;45;0;0;48;0;56;0;18;78;18;74;18;0;60;0;56;0;18;93;18;89;18;0;75;0;71;0;;;;;;;;;;;;;;;;;;;;
2.8;5.6;0.35;0;-53;0;-34;0;-19;-72;-19;-61;-19;0;-53;0;-42;0;0;-53;0;-53;0;-19;-104;-19;-72;-19;0;-85;0;-53;0;;;;;;;;;;;-34;-119;-34;-101;-34;-19;-104;-19;-86;-19;0;-85;0;-67;0;;;;;;-19;-104;-19;-104;-19;0;-85;0;-85;0;;;;;;;;;;;;-85;;-106;;;;;;;0;56;0;63;0;0;56;0;80;0;19;90;19;99;19;0;71;0;80;0;19;109;19;119;19;0;90;0;100;0;;;;;;;;;;;;;;;;;;;;
